text,length, lemma_, pos_, tag_, dep_, is_alpha, is_stop, count, samples,
mc,2,mc,PROPN,NNP,compound,True,False,4,[u'The resource group to create the ACI container groups Use the MC_ resource group if it is not specified ', u'The location to create the ACI container groups Use the location of the MC_ resource group if it is not specified ']
mb,2,mb,NOUN,NN,appos,True,False,10,[u'If compression is enabled content will be served as compressed if user requests for a compressed version Content won t be compressed on CDN when requested content is smaller than 1 byte or larger than 1 MB ', u'If compression is enabled content will be served as compressed if user requests for a compressed version Content won t be compressed on CDN when requested content is smaller than 1 byte or larger than 1 MB ']
mm,2,mm,PROPN,NNP,compound,True,False,13,[u'End date YYYY MM DD in UTC Only needed for daily grain and if specified also requires start date ', u'Start date YYYY MM DD in UTC Only needed for daily grain and if specified also requires end date ']
mi,2,mi,NOUN,NN,dobj,True,False,1,[u'Updates a mi with specified parameters and with identity'],
dh,2,dh,PROPN,NNP,compound,True,False,1,[u'Required The DH Groups used in IKE Phase 1 for initial SA Possible values include None DHGroup1 DHGroup2 DHGroup14 DHGroup2048 ECP256 ECP384 DHGroup24 '],
dd,2,dd,NOUN,NN,aux,True,False,18,[u'The permissions the SAS grants Allowed values r ead query a dd u pdate d elete Do not use if a stored access policy is referenced with id that specifies this value Can be combined ', u'The permissions the SAS grants Allowed values a dd p rocess r ead u pdate Do not use if a stored access policy is referenced with id that specifies this value Can be combined ']
db,2,db,PROPN,NNP,compound,True,False,77,[u'Updates an Azure Cosmos DB collection ', u'Cosmos DB account url connection Must be used in conjunction with cosmosdb account key ']
dc,2,dc,PROPN,NNP,compound,True,False,3,[u'Download and install the DC OS command line tool for a cluster ', u'Creates an SSH tunnel to the Azure container service and opens the Mesosphere DC OS dashboard in the browser ']
dt,2,dt,PROPN,NNP,compound,True,False,2,[u'The end time of the query in the format of Y m dT H M SZ e g 2000 12 31T12 59 59Z Defaults to the current time', u'The start time of the query in the format of Y m dT H M SZ e g 2000 12 31T12 59 59Z Defaults to 1 Hour prior to the current time']
dr,2,dr,PROPN,NNP,compound,True,False,3,[u'Name if within the same resource group or ARM Id of Primary Secondary eventhub namespace name which is part of GEO DR pairing', u'Invokes GEO DR failover and reconfigure the alias to point to the secondary namespace']
ip,2,ip,PROPN,NNP,compound,True,False,275,[u'Check if a private IP address is available for use within a virtual network ', u'The private IP address to be verified ']
id,2,id,NOUN,NNS,compound,True,False,1148,[u'One or more resource IDs space delimited If provided no other Resource Id arguments should be specified ', u'A string that uniquely identifies the job within the account The ID can contain any combination of alphanumeric characters including hyphens and underscores and cannot contain more than 64 characters The ID is case preserving and case insensitive that is you may not have two IDs within an account that differ only by case ']
ne,2,ne,NOUN,NN,dobj,True,False,1,[u'May be used to filter billing periods by billingPeriodEndDate The filter supports eq lt gt le ge and and It does not currently support ne or or not '],
ns,2,ns,PROPN,NNP,compound,True,False,15,[u'Create an empty NS record set ', u'Create an empty NS record set ']
ms,2,ms,NOUN,NN,compound,True,False,2,[u'Create a security rule using service tags For more details visit https aka ms servicetags', u'The runtime stack used for your linux based webapp e g RUBY 2 3 NODE 6 6 PHP 5 6 DOTNETCORE 1 1 0 See https aka ms linux stacks for more info ']
mx,2,mx,PROPN,NNP,compound,True,False,15,[u'Remove an MX record from its record set ', u'Remove an MX record from its record set ']
