text, lemma_, pos_, tag_, dep_, is_alpha, is_stop, count, samples,
name,name,NOUN,NN,nsubj,True,False,6436,[u'Name of resource group You can configure the default group using az configure defaults group name ', u'Name of resource group You can configure the default group using az configure defaults group name ']
group,group,NOUN,NN,pobj,True,False,4192,[u'Name of resource group You can configure the default group using az configure defaults group name ', u'Name of resource group You can configure the default group using az configure defaults group name ']
resource,resource,NOUN,NN,compound,True,False,3590,[u'Name of resource group You can configure the default group using az configure defaults group name ', u'Name of resource group You can configure the default group using az configure defaults group name ']
default,default,NOUN,NN,compound,True,False,3370,[u'Name of resource group You can configure the default group using az configure defaults group name ', u'Name of resource group You can configure the default group using az configure defaults group name ']
account,account,NOUN,NN,compound,True,False,1979,[u'Storage account name Related environment variable AZURE_STORAGE_ACCOUNT Must be used in conjunction with either storage account key or a SAS token If neither are present the command will try to query the storage account key using the authenticated Azure account If a large number of storage commands are executed the API quota may be hit', u'Storage account name Related environment variable AZURE_STORAGE_ACCOUNT Must be used in conjunction with either storage account key or a SAS token If neither are present the command will try to query the storage account key using the authenticated Azure account If a large number of storage commands are executed the API quota may be hit']
value,value,NOUN,NN,compound,True,False,1411,[u'Sets user defined metadata on the specified queue Metadata is associated with the queue as name value pairs ', u'Metadata in space separated key value pairs This overwrites any existing metadata ']
key,key,NOUN,NN,pobj,True,False,1410,[u'Storage account name Related environment variable AZURE_STORAGE_ACCOUNT Must be used in conjunction with either storage account key or a SAS token If neither are present the command will try to query the storage account key using the authenticated Azure account If a large number of storage commands are executed the API quota may be hit', u'Storage account name Related environment variable AZURE_STORAGE_ACCOUNT Must be used in conjunction with either storage account key or a SAS token If neither are present the command will try to query the storage account key using the authenticated Azure account If a large number of storage commands are executed the API quota may be hit']
storage,storage,NOUN,NN,compound,True,False,1355,[u'Storage account name Related environment variable AZURE_STORAGE_ACCOUNT Must be used in conjunction with either storage account key or a SAS token If neither are present the command will try to query the storage account key using the authenticated Azure account If a large number of storage commands are executed the API quota may be hit', u'Storage account name Related environment variable AZURE_STORAGE_ACCOUNT Must be used in conjunction with either storage account key or a SAS token If neither are present the command will try to query the storage account key using the authenticated Azure account If a large number of storage commands are executed the API quota may be hit']
list,list,NOUN,NN,compound,True,False,1191,[u'List VMSS ', u'A list of files that the Batch service will download to the compute node before running the command line Files listed under this element are located in the task s working directory Space separated resource references in filename blobsource format ']
id,id,NOUN,NNS,compound,True,False,1148,[u'One or more resource IDs space delimited If provided no other Resource Id arguments should be specified ', u'A string that uniquely identifies the job within the account The ID can contain any combination of alphanumeric characters including hyphens and underscores and cannot contain more than 64 characters The ID is case preserving and case insensitive that is you may not have two IDs within an account that differ only by case ']
