text, lemma_, pos_, tag_, dep_, is_alpha, is_stop, count, samples,
be,be,VERB,VBZ,auxpass,True,False,3846,[u'Sets user defined metadata on the specified queue Metadata is associated with the queue as name value pairs ', u'Storage account name Related environment variable AZURE_STORAGE_ACCOUNT Must be used in conjunction with either storage account key or a SAS token If neither are present the command will try to query the storage account key using the authenticated Azure account If a large number of storage commands are executed the API quota may be hit']
configure,configure,VERB,VB,ROOT,True,False,3038,[u'Name of resource group You can configure the default group using az configure defaults group name ', u'Name of resource group You can configure the default group using az configure defaults group name ']
use,use,VERB,VBG,acl,True,False,2944,[u'Name of resource group You can configure the default group using az configure defaults group name ', u'Storage account name Related environment variable AZURE_STORAGE_ACCOUNT Must be used in conjunction with either storage account key or a SAS token If neither are present the command will try to query the storage account key using the authenticated Azure account If a large number of storage commands are executed the API quota may be hit']
can,can,VERB,MD,aux,True,False,1819,[u'Name of resource group You can configure the default group using az configure defaults group name ', u'Name of resource group You can configure the default group using az configure defaults group name ']
specify,specify,VERB,VBN,ROOT,True,False,1593,[u'One or more resource IDs space delimited If provided no other Resource Id arguments should be specified ', u'The maximum elapsed time that the job may run measured from the time the job is created If the job does not complete within the time limit the Batch service terminates it and any tasks that are still running In this case the termination reason will be MaxWallClockTimeExpiry If this property is not specified there is no time limit on how long the job may run Expected format is an ISO 8601 duration ']
would,would,VERB,MD,ROOT,True,False,876,[u'One or more resource IDs space delimited If provided no other Resource Id arguments should be specified ', u'The id of an existing pool All the tasks of the job will run on the specified pool ']
should,should,VERB,MD,aux,True,False,843,[u'One or more resource IDs space delimited If provided no other Resource Id arguments should be specified ', u'The command line of the Job Manager task The command line does not run under a shell and therefore cannot take advantage of shell features such as environment variable expansion If you want to take advantage of such features you should invoke the shell in the command line for example using cmd c MyCommand in Windows or bin sh c MyCommand in Linux If the command line refers to file paths it should use a relative path relative to the task working directory or use the Batch provided environment variable https docs microsoft com en us azure batch batch compute node environment variables ']
provide,provide,VERB,VBN,advcl,True,False,778,[u'One or more resource IDs space delimited If provided no other Resource Id arguments should be specified ', u'The command line of the Job Manager task The command line does not run under a shell and therefore cannot take advantage of shell features such as environment variable expansion If you want to take advantage of such features you should invoke the shell in the command line for example using cmd c MyCommand in Windows or bin sh c MyCommand in Linux If the command line refers to file paths it should use a relative path relative to the task working directory or use the Batch provided environment variable https docs microsoft com en us azure batch batch compute node environment variables ']
create,create,VERB,VBN,relcl,True,False,714,[u'The maximum elapsed time that the job may run measured from the time the job is created If the job does not complete within the time limit the Batch service terminates it and any tasks that are still running In this case the termination reason will be MaxWallClockTimeExpiry If this property is not specified there is no time limit on how long the job may run Expected format is an ISO 8601 duration ', u'Create an empty PTR record set ']
delimit,delimit,VERB,VBN,acl,True,False,700,[u'One or more resource IDs space delimited If provided no other Resource Id arguments should be specified ', u'One or more resource IDs space delimited If provided no other Resource Id arguments should be specified ']
