text, lemma_, pos_, tag_, dep_, is_alpha, is_stop, count, samples
https_port,https_port,NOUN,NN,ROOT,False,False,1,[u'Endpoint origin specified by the following space delimited 3 tuple www example com http_port https_port The HTTP and HTTPsports are optional and will default to 80 and 443 respectively ']
dynamic,dynamic,NOUN,NNS,dobj,True,False,1,[u'Create a rule in a route filter to allow Dynamics 365 ']
precondition,precondition,PROPN,NNP,compound,True,False,12,[u' The lease ID specified for this header must match the lease ID of the destination blob If the request does not include the lease ID or it is not valid the operation fails with status code 412 Precondition Failed ', u' A DateTime value Azure expects the date value passed in to be UTC If timezone is included any non UTC datetimes will be converted to UTC If a date is passed in without timezone info it is assumed to be UTC Specify this conditional header to copy the blob only if the destination blob has not been modified since the specified date time If the destination blob has been modified the Blob service returns status code 412 Precondition Failed ']
prefix,prefix,NOUN,NNS,pobj,True,False,57,[u'Space separated list of CIDR prefixes representing the address space for the P2S client ', u'Space separated list of CIDR prefixes or IP ranges Alternatively specify ONE of VirtualNetwork AzureLoadBalancer Internet or to match all IPs ']
registryread,registryread,PROPN,NNP,compound,True,False,1,[u'Permissions of shared access policy Use space separated list for multiple permissions Possible values RegistryRead RegistryWrite ServiceConnect DeviceConnect']
jmespath,jmespath,PROPN,NNP,compound,True,False,14,[u'Wait until the condition satisfies a custom JMESPath query E g provisioningState InProgress instanceView statuses code PowerState running ', u'Wait until the condition satisfies a custom JMESPath query E g provisioningState InProgress instanceView statuses code PowerState running ']
integrity,integrity,NOUN,NN,compound,True,False,3,[u'Whether to perform a checksum based data integrity validation between source and target for the selected database and tables ', u'Required The IPSec integrity algorithm IKE phase 1 Possible values include MD5 SHA1 SHA256 GCMAES128 GCMAES192 GCMAES256 ']
whose,whose,ADJ,WP$,poss,True,False,14,[u'The ID of the job whose properties you want to update ', u'The ID of the task whose file you want to retrieve ']
calculate,calculate,VERB,VBN,conj,True,False,6,[u'The formula for the desired number of compute nodes in the pool The formula is validated and its results calculated but it is not applied to the pool To apply the formula to the pool Enable automatic scaling on a pool For more information about specifying this formula see Automatically scale compute nodes in an Azure Batch pool https azure microsoft com en us documentation articles batch automatic scaling ', u'Specifies that an MD5 hash shall be calculated for each chunk of the blob and verified by the service when the chunk has arrived ']
startrk,startrk,VERB,VB,advmod,True,False,2,[u' The minimum partition key accessible with this shared access signature startpk must accompany startrk Key values are inclusive If omitted there is no lower bound on the table entities that can be accessed ', u' The minimum row key accessible with this shared access signature startpk must accompany startrk Key values are inclusive If omitted there is no lower bound on the table entities that can be accessed ']
eligible,eligible,ADJ,JJ,ccomp,True,False,1,[u'Reactivates a task allowing it to run again even if its retry count has been exhausted Reactivation makes a task eligible to be retried again up to its maximum retry count The task s state is changed to active As the task is no longer in the completed state any previous exit code or failure information is no longer available after reactivation Each time a task is reactivated its retry count is reset to 0 Reactivation will fail for tasks that are not completed or that previously completed successfully with an exit code of 0 Additionally it will fail if the job has completed or is terminating or deleting ']
wideworldimportersstd,wideworldimportersstd,PROPN,NNP,dobj,True,False,1,[u'The name of the sample schema to apply when creating this database Possible values include AdventureWorksLT WideWorldImportersStd WideWorldImportersFull ']
swap,swap,NOUN,NN,dobj,True,False,9,[u'Configure deployment slot auto swap ', u'target slot to auto swap']
under,under,ADP,IN,prep,True,False,92,[u'The command line of the Job Manager task The command line does not run under a shell and therefore cannot take advantage of shell features such as environment variable expansion If you want to take advantage of such features you should invoke the shell in the command line for example using cmd c MyCommand in Windows or bin sh c MyCommand in Linux If the command line refers to file paths it should use a relative path relative to the task working directory or use the Batch provided environment variable https docs microsoft com en us azure batch batch compute node environment variables ', u'A list of files that the Batch service will download to the compute node before running the command line Files listed under this element are located in the task s working directory Space separated resource references in filename blobsource format ']
sha256,sha256,NOUN,NN,pobj,False,False,3,[u'Delete an image by sha256 based manifest digest This deletes all tags referencing the manifest and any associated layer data ', u'Required The IPSec integrity algorithm IKE phase 1 Possible values include MD5 SHA1 SHA256 GCMAES128 GCMAES192 GCMAES256 ']
jobcreateparameter,jobcreateparameter,NOUN,NNS,appos,True,False,1,[u'A path to a json file containing job create parameters json representation of azure mgmt batchai models JobCreateParameters ']
isvs,isvs,PROPN,NNP,pobj,True,False,1,[u'Manage template solutions provided and maintained by Independent Software Vendors ISVs ']
regional,regional,PROPN,NNP,compound,True,False,3,[u'Internet Routing Registry Regional Internet Registry', u'Internet Routing Registry Regional Internet Registry']
epoch,epoch,NOUN,NN,pobj,True,False,1,[u'The absolute value of the expiration time expressed as milliseconds since the epoch ']
replication,replication,NOUN,NN,dobj,True,False,26,[u'Delete a replication from a container registry ', u'The name of the replication ']
