text, lemma_, pos_, tag_, dep_, is_alpha, is_stop, is_oov, text
vmss,vmss,NOUN,NN,compound,True,False,True,vmss list
list,list,NOUN,NN,ROOT,True,False,False,vmss list
storage,storage,NOUN,NN,compound,True,False,False,storage queue metadata update
queue,queue,NOUN,NN,nmod,True,False,False,storage queue metadata update
metadata,metadata,NOUN,NN,compound,True,False,False,storage queue metadata update
update,update,NOUN,NN,ROOT,True,False,False,storage queue metadata update
network,network,NOUN,NN,compound,True,False,False,network vnet check-ip-address
vnet,vnet,NOUN,NN,compound,True,False,False,network vnet check-ip-address
check,check,NOUN,NN,ROOT,True,False,False,network vnet check-ip-address
ip,ip,NOUN,NN,compound,True,False,False,network vnet check-ip-address
address,address,NOUN,NN,dobj,True,False,False,network vnet check-ip-address
network,network,NOUN,NN,compound,True,False,False,network lb address-pool delete
lb,lb,ADP,IN,compound,True,False,False,network lb address-pool delete
address,address,NOUN,NN,compound,True,False,False,network lb address-pool delete
pool,pool,NOUN,NN,nsubj,True,False,False,network lb address-pool delete
delete,delete,ADJ,JJ,ROOT,True,False,False,network lb address-pool delete
batch,batch,ADJ,JJ,amod,True,False,False,batch job create
job,job,NOUN,NN,nsubj,True,False,False,batch job create
create,create,NOUN,NN,ROOT,True,False,False,batch job create
iot,iot,NOUN,NN,ROOT,True,False,False,iot device message complete
device,device,NOUN,NN,compound,True,False,False,iot device message complete
message,message,NOUN,NN,dobj,True,False,False,iot device message complete
complete,complete,ADJ,JJ,acomp,True,False,False,iot device message complete
network,network,NOUN,NN,compound,True,False,False,network dns record-set ptr create
dns,dns,NOUN,NN,amod,True,False,False,network dns record-set ptr create
record,record,NOUN,NN,compound,True,False,False,network dns record-set ptr create
set,set,VERB,VBN,amod,True,False,False,network dns record-set ptr create
ptr,ptr,NOUN,NN,nsubj,True,False,False,network dns record-set ptr create
create,create,NOUN,NN,ROOT,True,False,False,network dns record-set ptr create
iot,iot,X,FW,aux,True,False,False,iot dps update
dps,dps,NOUN,NN,ROOT,True,False,False,iot dps update
update,update,NOUN,NN,dobj,True,False,False,iot dps update
cosmosdb,cosmosdb,ADJ,JJ,ROOT,True,False,True,cosmosdb collection update
collection,collection,NOUN,NN,compound,True,False,False,cosmosdb collection update
update,update,NOUN,NN,dobj,True,False,False,cosmosdb collection update
acr,acr,NOUN,NN,compound,True,False,False,acr replication delete
replication,replication,NOUN,NN,nsubj,True,False,False,acr replication delete
delete,delete,ADJ,JJ,ROOT,True,False,False,acr replication delete
network,network,NOUN,NN,nsubj,True,False,False,network express-route peering
express,express,VERB,VBP,ROOT,True,False,False,network express-route peering
route,route,NOUN,NN,dobj,True,False,False,network express-route peering
peering,peer,VERB,VBG,advcl,True,False,False,network express-route peering
network,network,NOUN,NN,compound,True,False,False,network nsg rule delete
nsg,nsg,NOUN,NN,compound,True,False,True,network nsg rule delete
rule,rule,NOUN,NN,nsubj,True,False,False,network nsg rule delete
delete,delete,ADJ,JJ,ROOT,True,False,False,network nsg rule delete
servicebus,servicebus,ADJ,JJ,amod,True,False,True,servicebus topic authorization-rule create
topic,topic,NOUN,NN,compound,True,False,False,servicebus topic authorization-rule create
authorization,authorization,NOUN,NN,compound,True,False,False,servicebus topic authorization-rule create
rule,rule,NOUN,NN,nsubj,True,False,False,servicebus topic authorization-rule create
create,create,VERB,VB,ROOT,True,False,False,servicebus topic authorization-rule create
acr,acr,NOUN,NN,compound,True,False,False,acr show-usage
show,show,NOUN,NN,compound,True,False,False,acr show-usage
usage,usage,NOUN,NN,ROOT,True,False,False,acr show-usage
network,network,NOUN,NN,compound,True,False,False,network public-ip show
public,public,ADJ,JJ,amod,True,False,False,network public-ip show
ip,ip,NOUN,NN,compound,True,False,False,network public-ip show
show,show,NOUN,NN,ROOT,True,False,False,network public-ip show
monitor,monitor,VERB,VB,ROOT,True,False,False,monitor autoscale profile list-timezones
autoscale,autoscale,NOUN,NN,compound,True,False,False,monitor autoscale profile list-timezones
profile,profile,NOUN,NN,compound,True,False,False,monitor autoscale profile list-timezones
list,list,NOUN,NN,compound,True,False,False,monitor autoscale profile list-timezones
timezones,timezone,NOUN,NNS,dobj,True,False,False,monitor autoscale profile list-timezones
lab,lab,NOUN,NN,compound,True,False,False,lab artifact
artifact,artifact,NOUN,NN,ROOT,True,False,False,lab artifact
storage,storage,NOUN,NN,compound,True,False,False,storage blob show
blob,blob,NOUN,NN,compound,True,False,False,storage blob show
show,show,NOUN,NN,ROOT,True,False,False,storage blob show
policy,policy,NOUN,NN,compound,True,False,False,policy event list
event,event,NOUN,NN,compound,True,False,False,policy event list
list,list,NOUN,NN,ROOT,True,False,False,policy event list
vm,vm,PROPN,NNP,compound,True,False,False,vm show
show,show,NOUN,NN,ROOT,True,False,False,vm show
lab,lab,NOUN,NN,compound,True,False,False,lab secret
secret,secret,ADJ,JJ,ROOT,True,False,False,lab secret
batch,batch,NOUN,NN,amod,True,False,False,batch certificate
certificate,certificate,NOUN,NN,ROOT,True,False,False,batch certificate
vmss,vmss,NOUN,NN,ROOT,True,False,True,vmss list-skus
list,list,NOUN,NN,compound,True,False,False,vmss list-skus
skus,sku,NOUN,NNS,dobj,True,False,False,vmss list-skus
lab,lab,NOUN,NN,compound,True,False,False,lab artifact-source
artifact,artifact,NOUN,NN,compound,True,False,False,lab artifact-source
source,source,NOUN,NN,ROOT,True,False,False,lab artifact-source
account,account,NOUN,NN,compound,True,False,False,account show
show,show,NOUN,NN,ROOT,True,False,False,account show
policy,policy,NOUN,NN,compound,True,False,False,policy state list
state,state,NOUN,NN,compound,True,False,False,policy state list
list,list,NOUN,NN,ROOT,True,False,False,policy state list
batchai,batchai,ADJ,JJ,compound,True,False,True,batchai cluster
cluster,cluster,NOUN,NN,ROOT,True,False,False,batchai cluster
batch,batch,ADJ,JJ,amod,True,False,False,batch job list
job,job,NOUN,NN,compound,True,False,False,batch job list
list,list,NOUN,NN,ROOT,True,False,False,batch job list
servicebus,servicebus,ADJ,JJ,compound,True,False,True,servicebus namespace show
namespace,namespace,NOUN,NN,nsubj,True,False,False,servicebus namespace show
show,show,NOUN,NN,ROOT,True,False,False,servicebus namespace show
webapp,webapp,X,FW,compound,True,False,False,webapp config backup list
config,config,NOUN,NN,compound,True,False,False,webapp config backup list
backup,backup,NOUN,NN,compound,True,False,False,webapp config backup list
list,list,NOUN,NN,ROOT,True,False,False,webapp config backup list
webapp,webapp,NOUN,NN,compound,True,False,False,webapp traffic-routing show
traffic,traffic,NOUN,NN,compound,True,False,False,webapp traffic-routing show
routing,routing,NOUN,NN,compound,True,False,False,webapp traffic-routing show
show,show,NOUN,NN,ROOT,True,False,False,webapp traffic-routing show
iot,iot,NOUN,NN,aux,True,False,False,iot dps linked-hub delete
dps,dps,NOUN,NN,ROOT,True,False,False,iot dps linked-hub delete
linked,link,VERB,VBN,amod,True,False,False,iot dps linked-hub delete
hub,hub,NOUN,NN,dobj,True,False,False,iot dps linked-hub delete
delete,delete,ADJ,JJ,oprd,True,False,False,iot dps linked-hub delete
webapp,webapp,NOUN,NN,compound,True,False,False,webapp auth show
auth,auth,NOUN,NN,compound,True,False,False,webapp auth show
show,show,NOUN,NN,ROOT,True,False,False,webapp auth show
vm,vm,PROPN,NNP,compound,True,False,False,vm availability-set
availability,availability,NOUN,NN,nsubj,True,False,False,vm availability-set
set,set,VERB,VBN,ROOT,True,False,False,vm availability-set
servicebus,servicebus,ADJ,JJ,compound,True,False,True,servicebus namespace authorization-rule keys
namespace,namespace,NOUN,NN,compound,True,False,False,servicebus namespace authorization-rule keys
authorization,authorization,NOUN,NN,compound,True,False,False,servicebus namespace authorization-rule keys
rule,rule,NOUN,NN,compound,True,False,False,servicebus namespace authorization-rule keys
keys,key,NOUN,NNS,ROOT,True,False,False,servicebus namespace authorization-rule keys
network,network,NOUN,NN,compound,True,False,False,network vnet-gateway create
vnet,vnet,NOUN,NN,compound,True,False,False,network vnet-gateway create
gateway,gateway,NOUN,NN,nsubj,True,False,False,network vnet-gateway create
create,create,VERB,VB,ROOT,True,False,False,network vnet-gateway create
vmss,vmss,NOUN,NN,ROOT,True,False,True,vmss extension set
extension,extension,NOUN,NN,compound,True,False,False,vmss extension set
set,set,VERB,VBN,dobj,True,False,False,vmss extension set
network,network,NOUN,NN,compound,True,False,False,network vpn-connection show
vpn,vpn,NOUN,NN,compound,True,False,False,network vpn-connection show
connection,connection,NOUN,NN,compound,True,False,False,network vpn-connection show
show,show,NOUN,NN,ROOT,True,False,False,network vpn-connection show
managedapp,managedapp,NOUN,NN,compound,True,False,True,managedapp definition show
definition,definition,NOUN,NN,compound,True,False,False,managedapp definition show
show,show,NOUN,NN,ROOT,True,False,False,managedapp definition show
ams,ams,DET,DT,ROOT,True,False,False,ams asset delete
asset,asset,NOUN,NN,nsubj,True,False,False,ams asset delete
delete,delete,ADJ,JJ,relcl,True,False,False,ams asset delete
dms,dms,NOUN,NN,compound,True,False,False,dms project task show
project,project,NOUN,NN,compound,True,False,False,dms project task show
task,task,NOUN,NN,compound,True,False,False,dms project task show
show,show,NOUN,NN,ROOT,True,False,False,dms project task show
batch,batch,ADJ,JJ,amod,True,False,False,batch pool autoscale evaluate
pool,pool,NOUN,NN,compound,True,False,False,batch pool autoscale evaluate
autoscale,autoscale,NOUN,NN,compound,True,False,False,batch pool autoscale evaluate
evaluate,evaluate,NOUN,NN,ROOT,True,False,False,batch pool autoscale evaluate
sql,sql,NOUN,NN,compound,True,False,False,sql midb delete
midb,midb,NOUN,NN,nsubj,True,False,True,sql midb delete
delete,delete,VERB,VBP,ROOT,True,False,False,sql midb delete
policy,policy,NOUN,NN,compound,True,False,False,policy definition
definition,definition,NOUN,NN,ROOT,True,False,False,policy definition
storage,storage,NOUN,NN,compound,True,False,False,storage share snapshot
share,share,NOUN,NN,compound,True,False,False,storage share snapshot
snapshot,snapshot,NOUN,NN,ROOT,True,False,False,storage share snapshot
servicebus,servicebus,ADJ,JJ,ROOT,True,False,True,servicebus topic subscription rule update
topic,topic,NOUN,NN,compound,True,False,False,servicebus topic subscription rule update
subscription,subscription,NOUN,NN,compound,True,False,False,servicebus topic subscription rule update
rule,rule,NOUN,NN,compound,True,False,False,servicebus topic subscription rule update
update,update,NOUN,NN,dobj,True,False,False,servicebus topic subscription rule update
storage,storage,NOUN,NN,compound,True,False,False,storage table generate-sas
table,table,NOUN,NN,nsubj,True,False,False,storage table generate-sas
generate,generate,VERB,VBP,ROOT,True,False,False,storage table generate-sas
sas,sas,PROPN,NNP,dobj,True,False,False,storage table generate-sas
sf,sf,NOUN,NN,amod,True,False,False,sf cluster certificate
cluster,cluster,NOUN,NN,compound,True,False,False,sf cluster certificate
certificate,certificate,NOUN,NN,ROOT,True,False,False,sf cluster certificate
storage,storage,NOUN,NN,compound,True,False,False,storage container policy list
container,container,NOUN,NN,compound,True,False,False,storage container policy list
policy,policy,NOUN,NN,compound,True,False,False,storage container policy list
list,list,NOUN,NN,ROOT,True,False,False,storage container policy list
eventgrid,eventgrid,VERB,VBN,amod,True,False,True,eventgrid topic-type show
topic,topic,NOUN,NN,compound,True,False,False,eventgrid topic-type show
type,type,NOUN,NN,compound,True,False,False,eventgrid topic-type show
show,show,NOUN,NN,ROOT,True,False,False,eventgrid topic-type show
storage,storage,NOUN,NN,compound,True,False,False,storage file generate-sas
file,file,NOUN,NN,nsubj,True,False,False,storage file generate-sas
generate,generate,VERB,VBP,ROOT,True,False,False,storage file generate-sas
sas,sas,PROPN,NNP,dobj,True,False,False,storage file generate-sas
sf,sf,NOUN,NN,compound,True,False,False,sf cluster
cluster,cluster,NOUN,NN,ROOT,True,False,False,sf cluster
network,network,NOUN,NN,nmod,True,False,False,network dns record-set cname create
dns,dns,NOUN,NN,amod,True,False,False,network dns record-set cname create
record,record,NOUN,NN,compound,True,False,False,network dns record-set cname create
set,set,NOUN,NN,amod,True,False,False,network dns record-set cname create
