text, lemma_, pos_, tag_, dep_, is_alpha, is_stop, count, samples
peek_message,peek_message,NOUN,NNS,pobj,False,False,1,[u'Retrieves one or more messages from the front of the queue but does not alter the visibility of the message Only messages that are visible may be retrieved When a message is retrieved for the first time with a call to get_messages its dequeue_count property is set to 1 If it is not deleted and is subsequently retrieved again the dequeue_count property is incremented The client may use this value to determine how many times a message has been retrieved Note that a call to peek_messages does not increment the value of DequeueCount but returns this value for the client to read If the key encryption key or resolver field is set on the local service object the messages will be decrypted before being returned ']
all,all,DET,DT,appos,True,False,142,[u'List all of the jobs or job schedule in a Batch account ', u'Deletes a job Deleting a job also deletes all tasks that are part of that job and all job statistics This also overrides the retention period for task data that is if the job contains tasks which are still retained on compute nodes the Batch services deletes those tasks working directories and all their contents When a Delete Job request is received the Batch service sets the job to the deleting state All update operations on a job that is in deleting state will fail with status code 409 Conflict with additional information indicating that the job is being deleted ']
code,code,NOUN,NN,pobj,True,False,13,[u'Deletes a job Deleting a job also deletes all tasks that are part of that job and all job statistics This also overrides the retention period for task data that is if the job contains tasks which are still retained on compute nodes the Batch services deletes those tasks working directories and all their contents When a Delete Job request is received the Batch service sets the job to the deleting state All update operations on a job that is in deleting state will fail with status code 409 Conflict with additional information indicating that the job is being deleted ', u'Generates a verification code for an Azure IoT Hub certificate ']
revoke,revoke,VERB,VBN,amod,True,False,5,[u'Delete a revoked certificate ', u'Manage revoked certificates in a virtual network gateway ']
chain,chain,NOUN,NN,conj,True,False,2,[u'Merges a certificate or a certificate chain with a key pair existing on the server The MergeCertificate operation performs the merging of a certificate or certificate chain with a key pair currently available in the service Authorization requires the certificates update permission ', u'Merges a certificate or a certificate chain with a key pair existing on the server The MergeCertificate operation performs the merging of a certificate or certificate chain with a key pair currently available in the service Authorization requires the certificates update permission ']
jobpreparationtasknotspecifi,jobpreparationtasknotspecifi,VERB,VBN,pobj,True,False,1,[u'Lists the execution status of the Job Preparation and Job Release task for the specified job across the compute nodes where the job has run This API returns the Job Preparation and Job Release task status on all compute nodes that have run the Job Preparation or Job Release task This includes nodes which have since been removed from the pool If this API is invoked on a job which has no Job Preparation or Job Release task the Batch service returns HTTP status code 409 Conflict with an error code of JobPreparationTaskNotSpecified ']
datum,datum,NOUN,NNS,nsubjpass,True,False,42,[u'Gets the permissions for the specified container The permissions indicate whether container data may be accessed publicly ', u'Manage data warehouses ']
manager,manager,PROPN,NNP,compound,True,False,15,[u'Manage Azure Resource Manager deployments ', u'List traffic manager endpoints ']
generalize,generalize,VERB,VBN,advcl,True,False,1,[u'Mark a VM as generalized allowing it to be imaged for multiple deployments ']
query,query,VERB,VBG,advcl,True,False,3,[u'List the Tasks within a Project Some tasks may have a status of Unknown which indicates that an error occurred while querying the status of that task ', u'List entities which satisfy a query ']
disk,disk,NOUN,NN,dobj,True,False,34,[u'Attach an unmanaged persistent disk to a VM ', u'Manage data disks of a VMSS ']
