,"The Add-AzureRmDataLakeAnalyticsDataSource cmdlet adds a data source to an Azure Data Lake Analytics account.","Add-AdlAnalyticsDataSource","Add-AdlAnalyticsDataSource",
,"The Add-AzureRmDataLakeAnalyticsFirewallRule cmdlet adds a firewall rule to an Azure Data Lake Analytics account.","Add-AdlAnalyticsFirewallRule","Add-AdlAnalyticsFirewallRule",
,"The Add-AzureRmDataLakeStoreFirewallRule cmdlet adds a firewall rule to the specified Data Lake Store account.","Add-AdlStoreFirewallRule","Add-AdlStoreFirewallRule",
,"The Add-AzureRmDataLakeStoreItemContent cmdlet adds content to an item in an Azure Data Lake Store.","Add-AdlStoreItemContent","Add-AdlStoreItemContent",
,"The Add-AzureRmDataLakeStoreTrustedIdProvider cmdlet adds a trusted identity provider to the specified Data Lake Store account.","Add-AdlStoreTrustedIdProvider","Add-AdlStoreTrustedIdProvider",
,"The Connect-AzureRmAccount cmdlet connects to Azure with an authenticated account for use with Azure Resource Manager cmdlet requests.
","Add-AzureRmAccount","Add-AzureRmAccount",
,"Creates a consumer group in the Eventhub associated with the specified IotHub.","Add-AzureRmIotHubEHCG","Add-AzureRmIotHubEHCG",
,"The Disable-AzureRmHDInsightOperationsManagementSuite cmdlet disables Operations Management Suite (OMS) in a Azure HDInsight cluster.","Disable-AzureRmHDInsightOMS","Disable-AzureRmHDInsightOMS",
,,"Edit-ASRRecoveryPlan","Edit-ASRRecoveryPlan",
,,"Edit-ASRRP","Edit-ASRRP",
,"The Enable-AzureRmDataLakeStoreKeyVault cmdlet attempts to enable a user managed Key Vault for encryption of the specified Data Lake Store account.","Enable-AdlStoreKeyVault","Enable-AdlStoreKeyVault",
,"The Enable-AzureRmHDInsightOperationsManagementSuite cmdlet enables Operations Management Suite (OMS) in a Azure HDInsight cluster.","Enable-AzureRmHDInsightOMS","Enable-AzureRmHDInsightOMS",
,"The Export-AzureRmDataLakeStoreChildItemProperties is used to report the ADLS space usage or/and ACL usage for the given directory and it's sub directories and files.","Export-AdlStoreChildItemProperties","Export-AdlStoreChildItemProperties",
,"The Export-AzureRmDataLakeStoreItem cmdlet downloads a file from Data Lake Store.","Export-AdlStoreItem","Export-AdlStoreItem",
,"The Get-AzureRmDataLakeAnalyticsAccount cmdlet gets information about an Azure Data Lake Analytics account.","Get-AdlAnalyticsAccount","Get-AdlAnalyticsAccount",
,"The Get-AzureRmDataLakeAnalyticsComputePolicy gets a specified Azure Data Lake Analytics compute policy or a list of policies.","Get-AdlAnalyticsComputePolicy","Get-AdlAnalyticsComputePolicy",
,"The Get-AzureRmDataLakeAnalyticsDataSource cmdlet gets an Azure Data Lake Analytics data source.","Get-AdlAnalyticsDataSource","Get-AdlAnalyticsDataSource",
,"The Get-AzureRmDataLakeAnalyticsFirewallRule cmdlet retrieves a firewall rule or list of firewall rules from an Azure Data Lake Analytics account.","Get-AdlAnalyticsFirewallRule","Get-AdlAnalyticsFirewallRule",
,"The Get-AzureRmDataLakeAnalyticsCatalogItem gets a specified Azure Data Lake Analytics catalog item, or gets catalog items of a specified type.","Get-AdlCatalogItem","Get-AdlCatalogItem",
,"The Get-AzureRmDataLakeAnalyticsCatalogItemAclEntry cmdlet gets a list of entries (ACEs) in the access control list (ACL) of a catalog or catalog item in Data Lake Analytics.","Get-AdlCatalogItemAclEntry","Get-AdlCatalogItemAclEntry",
,"The Get-AzureRmDataLakeAnalyticsJob cmdlet gets an Azure Data Lake Analytics job. If you do not specify a job, this cmdlet gets all jobs.","Get-AdlJob","Get-AdlJob",
,"The Get-AzureRmDataLakeAnalyticsJobPipeline gets a specified Azure Data Lake Analytics Job pipeline or a list of pipelines.","Get-AdlJobPipeline","Get-AdlJobPipeline",
,"The Get-AzureRmDataLakeAnalyticsJobRecurrence gets a specified Azure Data Lake Analytics Job recurrence or a list of recurrence.","Get-AdlJobRecurrence","Get-AdlJobRecurrence",
,"The Get-AzureRmDataLakeStoreAccount cmdlet gets details of a Data Lake Store account.","Get-AdlStore","Get-AdlStore",
,"The Get-AzureRmDataLakeStoreChildItem cmdlet gets the list of items in a folder in Data Lake Store.","Get-AdlStoreChildItem","Get-AdlStoreChildItem",
,"The Get-AzureRmDataLakeStoreChildItemSummary retrieves the content summary for a given path. It recursively computes total number of files, directories and total size of all the files under the given path.","Get-AdlStoreChildItemSummary","Get-AdlStoreChildItemSummary",
,"The Get-AzureRmDataLakeStoreFirewallRule cmdlet gets the specified firewall rules in the specified Data Lake Store. If no firewall rule is specified, then lists all firewall rules for the account.","Get-AdlStoreFirewallRule","Get-AdlStoreFirewallRule",
,"The Get-AzureRmDataLakeStoreItem cmdlet gets the details of a file or folder in Data Lake Store.","Get-AdlStoreItem","Get-AdlStoreItem",
,"The Get-AzureRmDataLakeStoreItemAclEntry cmdlet gets an entry (ACE) in the access control list (ACL) of a file or folder in Data Lake Store.","Get-AdlStoreItemAclEntry","Get-AdlStoreItemAclEntry",
,"The Get-AzureRmDataLakeStoreItemContent cmdlet gets the contents of a file in Data Lake Store.","Get-AdlStoreItemContent","Get-AdlStoreItemContent",
,"The Get-AzureRmDataLakeStoreItemOwner cmdlet gets the owner of a file or folder in Data Lake Store.","Get-AdlStoreItemOwner","Get-AdlStoreItemOwner",
,"The Get-AzureRmDataLakeStoreItemPermission cmdlet gets the the permission octal of a file or folder in Data Lake Store.","Get-AdlStoreItemPermission","Get-AdlStoreItemPermission",
,"The Get-AzureRmDataLakeStoreTrustedIdProvider cmdlet gets the specified trusted identity provider in the specified Data Lake Store. If no provider is specified, then lists all providers for the account.","Get-AdlStoreTrustedIdProvider","Get-AdlStoreTrustedIdProvider",
,,"Get-ASRAlertSetting","Get-ASRAlertSetting",
,,"Get-ASREvent","Get-ASREvent",
,,"Get-ASRFabric","Get-ASRFabric",
,,"Get-ASRJob","Get-ASRJob",
,,"Get-ASRNetwork","Get-ASRNetwork",
,,"Get-ASRNetworkMapping","Get-ASRNetworkMapping",
,,"Get-ASRNotificationSetting","Get-ASRNotificationSetting",
,,"Get-ASRPolicy","Get-ASRPolicy",
,,"Get-ASRProtectableItem","Get-ASRProtectableItem",
