Checks if a container registry name is valid and available for use,acr check-name
Lists all the container registries under the current subscription,acr list
Creates a container registry,acr create
Deletes a container registry,acr delete
Get the details of a container registry,acr show
Log in to a container registry through the Docker CLI,acr login
Get the quota usages for a container registry,acr show-usage
Update a container registry,acr update
Imports an image to the container registry from source,acr import
Get the login credentials for a container registry,acr credential show
Regenerate login credentials for a container registry,acr credential renew
List repositories in a container registry,acr repository list
Show tags for a repository in a container registry,acr repository show-tags
Show manifests of a repository in a container registry,acr repository show-manifests
Delete a repository or image in a container registry,acr repository delete
Untag an image in a container registry,acr repository untag
List all of the webhooks for a container registry,acr webhook list
Create a webhook for a container registry,acr webhook create
Delete a webhook from a container registry,acr webhook delete
Get the details of a webhook,acr webhook show
Get the service URI and custom headers for the webhook,acr webhook get-config
List recent events for a webhook,acr webhook list-events
Trigger a ping event for a webhook,acr webhook ping
Update a webhook,acr webhook update
List all of the replications for a container registry,acr replication list
Create a replication for a container registry,acr replication create
Delete a replication from a container registry,acr replication delete
Get the details of a replication,acr replication show
Updates a replication,acr replication update
Queues a quick docker build providing interactive feedback,acr build
Creates a new build definition which can be triggered by git commits or base image updates,acr build-task create
Get the properties of a specified build task,acr build-task show
List the build tasks for a container registry,acr build-task list
Delete a build task from a container registry,acr build-task delete
Update a build task for a container registry,acr build-task update
Trigger a build task that might otherwise be waiting for git commits or base image update triggers,acr build-task run
"List all of the executed builds for a registry, with the ability to filter by a specific build task",acr build-task list-builds
Get the properties of a specified build,acr build-task show-build
Show logs for a particular build,acr build-task logs
Show the dashboard for a service container's orchestrator in a web browser,acs browse
Create a container service,acs create
Delete a container service,acs delete
List container services,acs list
List locations where Azure Container Service is in preview and in production,acs list-locations
Change the private agent count of a container service,acs scale
Get the details for a container service,acs show
Wait for a container service to reach a desired state,acs wait
"Creates an SSH tunnel to the Azure container service, and opens the Mesosphere DC/OS dashboard in the browser",acs dcos browse
Download and install the DC/OS command-line tool for a cluster,acs dcos install-cli
Launch a proxy and browse the Kubernetes web UI,acs kubernetes browse
Download and install credentials to access a cluster,acs kubernetes get-credentials
Download and install the Kubernetes command-line tool for a cluster,acs kubernetes install-cli
Show the dashboard for a Kubernetes cluster in a web browser,aks browse
Create a new managed Kubernetes cluster,aks create
Delete a managed Kubernetes cluster,aks delete
Get access credentials for a managed Kubernetes cluster,aks get-credentials
Get the upgrade versions available for a managed Kubernetes cluster,aks get-upgrades
"Download and install kubectl, the Kubernetes command-line tool",aks install-cli
(PREVIEW) Install the ACI Connector on a managed Kubernetes cluster,aks install-connector
List managed Kubernetes clusters,aks list
(PREVIEW) Remove the ACI Connector from a managed Kubernetes cluster,aks remove-connector
Scale the node pool in a managed Kubernetes cluster,aks scale
Show the details for a managed Kubernetes cluster,aks show
Upgrade a managed Kubernetes cluster to a newer version,aks upgrade
(PREVIEW) Upgrade the ACI Connector on a managed Kubernetes cluster,aks upgrade-connector
(PREVIEW) Use Azure Dev Spaces with a managed Kubernetes cluster,aks use-dev-spaces
(PREVIEW) Remove Azure Dev Spaces from a managed Kubernetes cluster,aks remove-dev-spaces
Wait for a managed Kubernetes cluster to reach a desired state,aks wait
Get the versions available for creating a managed Kubernetes cluster,aks get-versions
List Azure Advisor recommendations,advisor recommendation list
Disable Azure Advisor recommendations,advisor recommendation disable
Enable Azure Advisor recommendations,advisor recommendation enable
List Azure Advisor configuration for the entire subscription,advisor configuration list
Show Azure Advisor configuration for the given subscription or resource group,advisor configuration show
Update Azure Advisor configuration,advisor configuration update
Show the details of an Azure Media Services account,ams account show
Delete an Azure Media Services account,ams account delete
Update the details of an Azure Media Services account,ams account update
List Azure Media Services accounts for the entire subscription,ams account list
Create an Azure Media Services account,ams account create
Attach a secondary storage to an Azure Media Services account,ams account storage add
Detach a secondary storage from an Azure Media Services account,ams account storage remove
Create a service principal and configure its access to an Azure Media Services account,ams account sp create
Generate a new client secret for a service principal configured for an Azure Media Services account,ams account sp reset-credentials
Show the details of a transform,ams transform show
List all the transforms of an Azure Media Services account,ams transform list
Delete a transform,ams transform delete
Create a transform,ams transform create
Update the details of a transform,ams transform update
Add an output to an existing transform,ams transform output add
Remove an output from an existing transform,ams transform output remove
Show the details of an asset,ams asset show
List all the assets of an Azure Media Services account,ams asset list
Delete an asset,ams asset delete
Update the details of an asset,ams asset update
Lists the asset SAS URLs used for uploading and downloading asset content,ams asset get-sas-urls
Create an asset,ams asset create
Show the details of a job,ams job show
List all the jobs of a transform within an Azure Media Services account,ams job list
Delete a job,ams job delete
Cancel a job,ams job cancel
Start a job,ams job start
Create a streaming locator,ams streaming locator create
List all the streaming locators within an Azure Media Services account,ams streaming locator list
Show the details of a streaming locator,ams streaming locator show
Delete a Streaming Locator,ams streaming locator delete
List paths supported by a streaming locator,ams streaming locator get-paths
Create a streaming policy,ams streaming policy create
List all the streaming policies within an Azure Media Services account,ams streaming policy list
Show the details of a streaming policy,ams streaming policy show
Delete a Streaming Policy,ams streaming policy delete
List all the streaming endpoints within an Azure Media Services account,ams streaming endpoint list
Start a streaming endpoint,ams streaming endpoint start
Stop a streaming endpoint,ams streaming endpoint stop
Create a web app,webapp create
List web apps,webapp list
Get the details of a web app,webapp show
Delete a web app,webapp delete
Stop a web app,webapp stop
Start a web app,webapp start
Restart a web app,webapp restart
Open a web app in a browser,webapp browse
List available built-in stacks which can be used for web apps,webapp list-runtimes
(PREVIEW) assign managed service identity to the webapp,webapp identity assign
(PREVIEW) display webapp's managed service identity,webapp identity show
Update a web app,webapp update
Configure routing traffic to deployment slots,webapp traffic-routing set
Display the current distribution of traffic across slots,webapp traffic-routing show
Clear the routing rules and send all traffic to production,webapp traffic-routing clear
Set a web app's configuration,webapp config set
Get the details of a web app's configuration,webapp config show
Get the details of a web app's settings,webapp config appsettings list
Set a web app's settings,webapp config appsettings set
Delete web app settings,webapp config appsettings delete
Get a web app's connection strings,webapp config connection-string list
Update a web app's connection strings,webapp config connection-string set
Delete a web app's connection strings,webapp config connection-string delete
Bind a hostname to a web app,webapp config hostname add
List all hostname bindings for a web app,webapp config hostname list
Unbind a hostname from a web app,webapp config hostname delete
Get the external-facing IP address for a web app,webapp config hostname get-external-ip
Set a web app container's settings,webapp config container set
Delete a web app container's settings,webapp config container delete
Get details of a web app container's settings,webapp config container show
Upload an SSL certificate to a web app,webapp config ssl upload
List SSL certificates for a web app,webapp config ssl list
Bind an SSL certificate to a web app,webapp config ssl bind
Unbind an SSL certificate from a web app,webapp config ssl unbind
Delete an SSL certificate from a web app,webapp config ssl delete
List backups of a web app,webapp config backup list
Show the backup schedule for a web app,webapp config backup show
Create a backup of a web app,webapp config backup create
Configure a new backup schedule for a web app,webapp config backup update
Restore a web app from a backup,webapp config backup restore
Get a URL for a git repository endpoint to clone and push to for web app deployment,webapp deployment source config-local-git
Perform deployment using the kudu zip push deployment for a webapp,webapp deployment source config-zip
Manage deployment from git or Mercurial repositories,webapp deployment source config
Synchronize from the repository,webapp deployment source sync
Get the details of a source control deployment configuration,webapp deployment source show
Delete a source control deployment configuration,webapp deployment source delete
Update source control token cached in Azure app service,webapp deployment source update-token
Start live log tracing for a web app,webapp log tail
Download a web app's log history as a zip file,webapp log download
Configure logging for a web app,webapp log config
Get the details of a web app's logging configuration,webapp log show
List all deployment slots,webapp deployment slot list
Delete a deployment slot,webapp deployment slot delete
Configure deployment slot auto swap,webapp deployment slot auto-swap
Change deployment slots for a web app,webapp deployment slot swap
Create a deployment slot,webapp deployment slot create
Get the details for available web app deployment profiles,webapp deployment list-publishing-profiles
Gets publishing user,webapp deployment user show
Update deployment credentials,webapp deployment user set
Configure continuous deployment via containers,webapp deployment container config
Get the URL which can be used to configure webhooks for continuous deployment,webapp deployment container show-cd-url
Show the authentification settings for the webapp,webapp auth show
Update the authentication settings for the webapp,webapp auth update
Create an app service plan,appservice plan create
Delete an app service plan,appservice plan delete
List app service plans,appservice plan list
Get the app service plans for a resource group or a set of resource groups,appservice plan show
Update an app service plan,appservice plan update
List regions where a plan sku is available,appservice list-locations
Create a function app,functionapp create
List function apps,functionapp list
Get the details of a function app,functionapp show
Delete a function app,functionapp delete
Stop a function app,functionapp stop
Start a function app,functionapp start
Restart a function app,functionapp restart
List available locations for running function apps,functionapp list-consumption-locations
(PREVIEW) assign managed service identity to the functionapp,functionapp identity assign
(PREVIEW) display functionapp's managed service identity,functionapp identity show
Update a function app,functionapp update
Show settings for a function app,functionapp config appsettings list
Update a function app's settings,functionapp config appsettings set
Delete a function app's settings,functionapp config appsettings delete
Bind a hostname to a function app,functionapp config hostname add
List all hostname bindings for a function app,functionapp config hostname list
Unbind a hostname from a function app,functionapp config hostname delete
Get the external-facing IP address for a function app,functionapp config hostname get-external-ip
Upload an SSL certificate to a function app,functionapp config ssl upload
List SSL certificates for a function app,functionapp config ssl list
Bind an SSL certificate to a function app,functionapp config ssl bind
Unbind an SSL certificate from a function app,functionapp config ssl unbind
Delete an SSL certificate from a function app,functionapp config ssl delete
Get a URL for a git repository endpoint to clone and push to for function app deployment,functionapp deployment source config-local-git
Perform deployment using the kudu zip push deployment for a function app,functionapp deployment source config-zip
Manage deployment from git or Mercurial repositories,functionapp deployment source config
Synchronize from the repository,functionapp deployment source sync
Get the details of a source control deployment configuration,functionapp deployment source show
Delete a source control deployment configuration,functionapp deployment source delete
Update source control token cached in Azure app service,functionapp deployment source update-token
Update deployment credentials,functionapp deployment user set
Gets publishing user,functionapp deployment user show
Get the details for available function app deployment profiles,functionapp deployment list-publishing-profiles
Create a new Recovery Services vault,backup vault create
Show details of a particular Recovery service vault,backup vault show
List Recovery service vaults within a subscription,backup vault list
Gets backup related properties of the Recovery Services vault,backup vault backup-properties show
Sets backup related properties of the Recovery Services vault,backup vault backup-properties set
Delete an existing Recovery services vault,backup vault delete
Show details of a container registered to a Recovery services vault,backup container show
List containers registered to a Recovery services vault,backup container list
Get the default policy with default values to backup a VM,backup policy get-default-for-vm
Show details of a particular policy,backup policy show
List all policies for a Recovery services vault,backup policy list
List all items protected by a backup policy,backup policy list-associated-items
Update the properties of the backup policy,backup policy set
"Before you can delete a Backup protection policy, the policy must not have any associated Backup items",backup policy delete
Find out whether the virtual machine is protected or not,backup protection check-vm
Start protecting a previously unprotected Azure VM as per the specified policy to a Recovery services vault,backup protection enable-for-vm
Perform an on-demand backup of a backed up item,backup protection backup-now
Stop protecting a backed up Azure VM,backup protection disable
Show details of a particular backed up item,backup item show
List all backed up items within a container,backup item list
Update the policy associated with this item,backup item set-policy
List all backup jobs of a Recovery Services vault,backup job list
Show details of a particular job,backup job show
Suspend or terminate a currently running job,backup job stop
Wait until either the job completes or the specified timeout value is reached,backup job wait
Shows details of a particular recovery point,backup recoverypoint show
List all recovery points of a backed up item,backup recoverypoint list
Restore disks of the backed VM from the specified recovery point,backup restore restore-disks
Download a script which mounts files of a recovery point,backup restore files mount-rp
Close access to the recovery point,backup restore files unmount-rp
List the Batch accounts associated with a subscription or resource group,batch account list
Gets information about the specified Batch account,batch account show
Create a Batch account with the specified parameters,batch account create
Update properties for a Batch account,batch account set
Deletes the specified Batch account,batch account delete
Log in to a Batch account through Azure Active Directory or Shared Key authentication,batch account login
Synchronizes access keys for the auto-storage account configured for the specified Batch account,batch account autostorage-keys sync
Gets the account keys for the specified Batch account,batch account keys list
Regenerates the specified account key for the Batch account,batch account keys renew
Lists all of the applications in the specified account,batch application list
Gets information about the specified application,batch application show
Adds an application to the specified Batch account,batch application create
Update properties for a Batch application,batch application set
Deletes an application,batch application delete
Create a Batch application package record and activate it,batch application package create
Deletes an application package record and its associated binary file,batch application package delete
Gets information about the specified application package,batch application package show
Activates a Batch application package,batch application package activate
Gets the Batch service quotas for the specified subscription at the given location,batch location quotas show
Lists all of the applications available in the specified account,batch application summary list
Gets information about the specified application,batch application summary show
Lists all node agent SKUs supported by the Azure Batch service,batch pool node-agent-skus list
"Gets the number of nodes in each state, grouped by pool",batch pool node-counts list
Add a certificate to a Batch account,batch certificate create
Delete a certificate from a Batch account,batch certificate delete
Gets information about the specified certificate,batch certificate show
Lists all of the certificates that have been added to the specified account,batch certificate list
"Lists the usage metrics, aggregated by pool across individual time intervals, for the specified account",batch pool usage-metrics list
Get lifetime summary statistics for all of the pools in a Batch account,batch pool all-statistics show
Create a Batch pool in an account,batch pool create
Lists all of the pools in the specified account,batch pool list
Deletes a pool from the specified account,batch pool delete
Gets information about the specified pool,batch pool show
Update the properties of a Batch pool,batch pool set
Update the properties of a Batch pool,batch pool reset
Disables automatic scaling for a pool,batch pool autoscale disable
Enables automatic scaling for a pool,batch pool autoscale enable
Gets the result of evaluating an automatic scaling formula on the pool,batch pool autoscale evaluate
Resize or stop resizing a Batch pool,batch pool resize
Upgrades the operating system of the specified pool,batch pool os upgrade
Removes compute nodes from the specified pool,batch node delete
Get lifetime summary statistics for all of the jobs in a Batch account,batch job all-statistics show
Add a job to a Batch account,batch job create
Deletes a job,batch job delete
Gets information about the specified job,batch job show
Update the properties of a Batch job,batch job set
Update the properties of a Batch job,batch job reset
List all of the jobs or job schedule in a Batch account,batch job list
"Disables the specified job, preventing new tasks from running",batch job disable
"Enables the specified job, allowing new tasks to run",batch job enable
"Terminates the specified job, marking it as completed",batch job stop
Lists the execution status of the Job Preparation and Job Release task for the specified job across the compute nodes where the job has run,batch job prep-release-status list
Gets the task counts for the specified job,batch job task-counts show
Add a Batch job schedule to an account,batch job-schedule create
Deletes a job schedule from the specified account,batch job-schedule delete
Gets information about the specified job schedule,batch job-schedule show
Update the properties of a job schedule,batch job-schedule set
Reset the properties of a job schedule,batch job-schedule reset
Disables a job schedule,batch job-schedule disable
Enables a job schedule,batch job-schedule enable
Terminates a job schedule,batch job-schedule stop
Lists all of the job schedules in the specified account,batch job-schedule list
Create Batch tasks,batch task create
Lists all of the tasks that are associated with the specified job,batch task list
Deletes a task from the specified job,batch task delete
Gets information about the specified task,batch task show
Reset the properties of a Batch task,batch task reset
